GAME,RATIO,GAMERS,COMP %,TIME,RATING,ADDED,True_Achievement,Game_Score,GENRES,Main_Genre,second_genre,third_genre,fourth_genre,name_genre_match
Mass Effect Legendary Edition,1.87,"84,143",4.1,100-120 hours,4.8,06 Jan 22,5442,2915,"Action, RPG, Third-Person Shooter",Action, RPG, Third-Person Shooter,,Mass Effect Legendary Edition
The Elder Scrolls V: Skyrim Special Edition,1.97,"213,257",8,80-100 hours,4.7,15 Dec 20,3055,1550,"RPG, Action, Adventure, Open World",RPG, Action, Adventure, Open World,The Elder Scrolls V: Skyrim Special Edition
Mass Effect 2,1.34,"221,178",9.6,50-60 hours,4.7,09 Nov 20,1819,1355,"Action, RPG, Third-Person Shooter",Action, RPG, Third-Person Shooter,,Mass Effect 2
Stardew Valley,3.04,"51,530",1,150-200 hours,4.7,02 Dec 21,3036,1000,"Simulation, RPG, Indie, Farming Sim",Simulation, RPG, Indie, Farming Sim,Stardew Valley
It Takes Two,1.68,"71,981",15.6,12-15 hours,4.7,03 Nov 21,1678,1000,"Action, Adventure, Platformer, Co-op",Action, Adventure, Platformer, Co-op,It Takes Two
Hades,2.4,"83,710",6.1,60-80 hours,4.6,18 Jun 21,2404,1000,"Action, Roguelike, RPG, Indie",Action, Roguelike, RPG, Indie,Hades
Resident Evil 7: Biohazard Grotesque Ver.,1.58,777,9.8,15-20 hours,4.6,17 Sep 20,2560,1620,"Survival Horror, Action, Adventure",Survival Horror, Action, Adventure,,Resident Evil 7: Biohazard Grotesque Ver.
Yakuza: Like a Dragon,2.13,"39,229",3.8,80-100 hours,4.6,13 Jun 21,2130,1000,"Action, RPG, Adventure, Turn-Based Combat",Action, RPG, Adventure, Turn-Based Combat,Yakuza: Like a Dragon
Forza Horizon 4,2.91,"379,536",0.9,60-80 hours,4.6,18 Dec 19,10516,3610,"Racing, Open World, Simulation",Racing, Open World, Simulation,,Forza Horizon 4
HITMAN 3,2.73,"63,570",1.9,25-30 hours,4.6,13 Mar 22,4202,1540,"Action, Stealth, Adventure",Action, Stealth, Adventure,,HITMAN 3
Ori and the Will of the Wisps,3.25,"105,933",1.3,20-25 hours,4.6,06 Mar 20,3250,1000,"Platformer, Metroidvania, Adventure",Platformer, Metroidvania, Adventure,,Ori and the Will of the Wisps
Forza Horizon 5,2.5,"301,931",1.6,80-100 hours,4.5,05 Nov 21,2497,1000,"Racing, Open World, Simulation",Racing, Open World, Simulation,,Forza Horizon 5
Psychonauts 2,1.94,"98,026",10.3,25-30 hours,4.5,25 Aug 21,1942,1000,"Action, Adventure, Platformer",Action, Adventure, Platformer,,Psychonauts 2
Mass Effect 3,1.52,"197,006",5.8,50-60 hours,4.5,09 Nov 20,2357,1550,"Action, RPG, Third-Person Shooter",Action, RPG, Third-Person Shooter,,Mass Effect 3
Final Fantasy X/X-2 HD Remaster,4.46,"25,727",1.2,150-200 hours,4.5,12 May 21,4458,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Final Fantasy X/X-2 HD Remaster
Halo: The Master Chief Collection,3.44,"455,839",0.4,300-500 hours,4.5,20 Oct 20,24046,7000,"Action, FPS, Adventure",Action, FPS, Adventure,,Halo: The Master Chief Collection
Fallout 4,1.78,"365,955",3.6,80-100 hours,4.5,12 Mar 21,2856,1600,"RPG, Action, Open World",RPG, Action, Open World,,Fallout 4
Fallout 3,1.58,"358,627",9.9,60-80 hours,4.5,13 Jun 21,2447,1550,"RPG, Action, Open World",RPG, Action, Open World,,Fallout 3
Ori and the Blind Forest: Definitive Edition,3.11,"155,957",0.7,20-25 hours,4.5,21 Oct 20,3893,1250,"Platformer, Metroidvania, Adventure",Platformer, Metroidvania, Adventure,,Ori and the Blind Forest: Definitive Edition
Dead Space 2,1.7,"150,214",4.5,20-25 hours,4.5,09 Nov 20,2122,1250,"Survival Horror, Action, Third-Person Shooter",Survival Horror, Action, Third-Person Shooter,,Dead Space 2
Batman: Arkham Knight,2.23,"254,473",1.1,40-50 hours,4.5,16 Dec 19,4454,2000,"Action, Adventure, Open World",Action, Adventure, Open World,,Batman: Arkham Knight
DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,3.11,"52,220",4.6,100-120 hours,4.5,05 Dec 20,3105,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition
Death's Door,1.62,"17,756",13.2,15-20 hours,4.5,20 Jan 22,1625,1000,"Action, Adventure, RPG",Action, Adventure, RPG,,Death's Door
Hollow Knight: Voidheart Edition,4.21,"52,927",1,60-80 hours,4.5,09 Jun 19,4212,1000,"Metroidvania, Action, Adventure",Metroidvania, Action, Adventure,,Hollow Knight: Voidheart Edition
Yakuza 6: The Song of Life,2.01,"8,621",7.1,50-60 hours,4.4,25 Mar 21,2015,1000,"Action, Adventure, Open World",Action, Adventure, Open World,,Yakuza 6: The Song of Life
Frostpunk: Console Edition,6.05,"10,578",0.2,150-200 hours,4.4,09 Jan 20,8416,1390,"Strategy, Simulation, Survival",Strategy, Simulation, Survival,,Frostpunk: Console Edition
Gears of War 3,2.69,"388,495",0.7,1000+ hours,4.4,16 Dec 19,5374,2000,"Action, Third-Person Shooter",Action, Third-Person Shooter,,,Gears of War 3
